village_code,province_code,province_name,city_code,city_name,district_code,district_name,village_name,postal_code
32.01.01.1001,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,PONDOK RAJEG,16913
32.01.01.1002,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,KARADENAN,16913
32.01.01.1003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,HARAPANJAYA,16914
32.01.01.1004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,NANGGEWER,16912
32.01.01.1005,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,NANGGEWER MEKAR,16912
32.01.01.1006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,CIBINONG,16911
32.01.01.1007,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,PAKANSARI,16915
32.01.01.1008,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,TENGAH,16914
32.01.01.1009,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,SUKAHATI,16913
32.01.01.1010,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,CIRIUNG,16919
32.01.01.1011,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,CIRIMEKAR,16917
32.01.01.1012,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,PABUARAN,16916
32.01.01.1013,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,PABUARAN MEKAR,16916
32.01.02.2001,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,WANAHERANG,16965
32.01.02.2002,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,BOJONG KULUR,16969
32.01.02.2003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,CIANGSANA,16968
32.01.02.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,GUNUNG PUTRI,16961
32.01.02.2005,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,BOJONG NANGKA,16963
32.01.02.2006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,TLAJUNG UDIK,16962
32.01.02.2007,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,CICADAS,16964
32.01.02.2008,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,CIKEAS UDIK,16966
32.01.02.2009,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,NAGRAK,16967
32.01.02.2010,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,KARANGGAN,16961
32.01.03.1006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,PUSPANEGARA,16811
32.01.03.1007,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,KARANG ASEM BARAT,16812
32.01.03.2001,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,PUSPASARI,16811
32.01.03.2002,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,CITEUREUP,16811
32.01.03.2003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,LEUWINUTUG,16813
32.01.03.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,TAJUR,16817
32.01.03.2005,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,SANJA,16814
32.01.03.2008,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,KARANG ASEM TIMUR,16812
32.01.03.2009,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,TARIKOLOT,16819
32.01.03.2010,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,GUNUNGSARI,16819
32.01.03.2011,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,TANGKIL,16815
32.01.03.2012,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,SUKAHATI,16814
32.01.03.2013,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,HAMBALANG,16816
32.01.03.2014,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,PASIRMUKTI,16818
32.01.04.2001,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,GUNUNGGEULIS,16713
32.01.04.2002,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CILEBUT TIMUR,16718
32.01.04.2003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CILEBUT BARAT,16718
32.01.04.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CIBANON,16712
32.01.04.2005,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,NAGRAK,16714
32.01.04.2006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,SUKATANI,16719
32.01.04.2007,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,SUKARAJA,16711
32.01.04.2008,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CIKEAS,16714
32.01.04.2009,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,PASIR JAMBU,16717
32.01.04.2010,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CIMANDALA,16716
32.01.04.2011,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CIJUJUNG,16716
32.01.04.2012,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CADASNGAMPAR,16714
32.01.04.2013,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,PASIRLAJA,16715
32.01.05.2001,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.05,BABAKAN MADANG,CIJAYANTI,16864
32.01.05.2002,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.05,BABAKAN MADANG,SUMURBATU,16866
32.01.05.2003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.05,BABAKAN MADANG,SENTUL,16863
32.01.05.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.05,BABAKAN MADANG,KARANGTENGAH,16867
