village_code,api_village_name,diskominfo_village_name,odj_village_name,api_postal_code,diskominfo_postal_code,odj_postal_code,diskominfo_vs_open_data_jabar,api_vs_diskominfo,api_vs_odj,comparison_status,postal_review_required,name_difference,note
32.01.01.1001,Pondok Rajeg,PONDOK RAJEG,PONDOK RAJEG,16914,16913,16914,different,different,match,api_matches_odj,yes,no,
32.01.01.1010,Ciriung,CIRIUNG,CIRIUNG,16918,16919,16918,different,different,match,api_matches_odj,yes,no,
32.01.01.1013,Pabuaran Mekar,PABUARAN MEKAR,PABUARAN MEKAR,16916,16916,,diskominfo_only,match,source_postal_missing,api_matches_diskominfo,yes,no,
32.01.02.2010,Karanggan,KARANGGAN,KARANGGAN,16960,16961,16960,different,different,match,api_matches_odj,yes,no,
32.01.03.1006,Puspanegara,PUSPANEGARA,PUSPANEGARA,16811,16811,16810,different,match,different,api_matches_diskominfo,yes,no,
32.01.03.1007,Karang Asem Barat,KARANG ASEM BARAT,KARANG ASEM BARAT,16811,16812,16810,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.03.2001,Puspasari,PUSPASARI,PUSPASARI,16811,16811,16810,different,match,different,api_matches_diskominfo,yes,no,
32.01.03.2002,Citeureup,CITEUREUP,CITEUREUP,16811,16811,16810,different,match,different,api_matches_diskominfo,yes,no,
32.01.03.2003,Leuwinutug,LEUWINUTUG,LEUWINUTUG,16811,16813,16810,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.03.2004,Tajur,TAJUR,TAJUR,16811,16817,16810,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.03.2005,Sanja,SANJA,SANJA,16811,16814,16810,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.03.2008,Karang Asem Timur,KARANG ASEM TIMUR,KARANG ASEM TIMUR,16811,16812,16810,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.03.2009,Tarikolot,TARIKOLOT,TARIKOLOT,16811,16819,16810,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.03.2010,Gunungsari (Gunung Sari),GUNUNGSARI,GUNUNGSARI,16811,16819,16810,different,different,different,api_differs_available_sources,yes,yes,API postal code differs from every available source postal code.
32.01.03.2011,Tangkil,TANGKIL,TANGKIL,16811,16815,16810,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.03.2012,Sukahati,SUKAHATI,SUKAHATI,16811,16814,16810,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.03.2013,Hambalang,HAMBALANG,HAMBALANG,16811,16816,16810,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.03.2014,Pasirmukti (Pasir Mukti),PASIRMUKTI,PASIRMUKTI,16811,16818,16810,different,different,different,api_differs_available_sources,yes,yes,API postal code differs from every available source postal code.
32.01.04.2001,Gununggeulis (Gunung Geulis),GUNUNGGEULIS,GUNUNGGEULIS,16711,16713,16710,different,different,different,api_differs_available_sources,yes,yes,API postal code differs from every available source postal code.
32.01.04.2002,Cilebut Timur,CILEBUT TIMUR,CILEBUT TIMUR,16711,16718,16710,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.04.2003,Cilebut Barat,CILEBUT BARAT,CILEBUT BARAT,16711,16718,16710,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.04.2004,Cibanon,CIBANON,CIBANON,16711,16712,16710,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.04.2005,Nagrak,NAGRAK,NAGRAK,16711,16714,16710,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.04.2006,Sukatani,SUKATANI,SUKATANI,16711,16719,16710,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.04.2007,Sukaraja,SUKARAJA,SUKARAJA,16711,16719,38877,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.04.2008,Cikeas,CIKEAS,CIKEAS,16711,16714,16710,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.04.2009,Pasir Jambu,PASIR JAMBU,PASIR JAMBU,16711,16717,16710,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.04.2010,Cimandala,CIMANDALA,CIMANDALA,16711,16716,16710,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.04.2011,Cijujung,CIJUJUNG,CIJUJUNG,16711,16716,16710,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.04.2012,Cadasngampar (Cadas Ngampar),CADASNGAMPAR,CADASNGAMPAR,16711,16714,16710,different,different,different,api_differs_available_sources,yes,yes,API postal code differs from every available source postal code.
32.01.04.2013,Pasirlaja,PASIRLAJA,PASIRLAJA,16711,16715,16710,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.05.2001,Cijayanti,CIJAYANTI,CIJAYANTI,16810,16864,16810,different,different,match,api_matches_odj,yes,no,
32.01.05.2002,Sumurbatu (Sumur Batu),SUMURBATU,SUMURBATU,16810,16866,16810,different,different,match,api_matches_odj,yes,yes,
