"village_code","province_code","province_name","city_code","city_name","district_code","district_name","village_name","postal_code","postal_code_candidate","candidate_status","candidate_sources","postal_code_diskominfo","postal_code_open_data_jabar","postal_code_kodepos_dev","postal_candidates","verification_status","confidence","review_required","selected_reason","administrative_resolution_applied","former_village_code","source_village_codes","source_ids","source_rows","snapshot","review_case_type","suggested_postal_code","suggestion_basis","unresolved_pattern","district_cluster_id","triplet_cluster_id","affected_rows_if_same_pattern","existing_pos_observation","existing_pos_match","existing_pos_evidence_url","reviewer","review_status","review_decision","reviewed_postal_code","evidence_source_name","evidence_url","evidence_checked_at","evidence_scope","review_notes","second_reviewer","second_review_status"
"32.01.01.1001","32","JAWA BARAT","32.01","KAB. BOGOR","32.01.01","CIBINONG","PONDOK RAJEG","16913","16914","corroborated_by_two_sources","open_data_jabar_postal_2023;kodepos_dev_rest_api","16913","16914","16914","16913;16914","pos_indonesia_finalized","high","no","Project owner selected the Pos Indonesia exact hierarchy result as final.","no","","diskominfo:32.01.01.1001;open_data_jabar:32.01.01.1001;kodepos_dev:32.01.01.1001","diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api","diskominfo:2;open_data_jabar:17349;kodepos_dev:2","2026-08-11","two_source_candidate","16914","open_data_jabar_postal_2023;kodepos_dev_rest_api","","","","1","16913","matches_diskominfo","https://kodepos.posindonesia.co.id/CariKodepos","project_owner","completed","accept_diskominfo","16913","pos_indonesia_postcode_search","https://kodepos.posindonesia.co.id/CariKodepos","2026-08-11","exact_village_district_city_province_match","Project owner selected Pos Indonesia result as the final postal code.","","not_required"
"32.01.01.1010","32","JAWA BARAT","32.01","KAB. BOGOR","32.01.01","CIBINONG","CIRIUNG","16919","16918","corroborated_by_two_sources","open_data_jabar_postal_2023;kodepos_dev_rest_api","16919","16918","16918","16918;16919","pos_indonesia_finalized","high","no","Project owner selected the Pos Indonesia exact hierarchy result as final.","no","","diskominfo:32.01.01.1010;open_data_jabar:32.01.01.1010;kodepos_dev:32.01.01.1010","diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api","diskominfo:11;open_data_jabar:17358;kodepos_dev:11","2026-08-11","two_source_candidate","16918","open_data_jabar_postal_2023;kodepos_dev_rest_api","","","","1","16919","matches_diskominfo","https://kodepos.posindonesia.co.id/CariKodepos","project_owner","completed","accept_diskominfo","16919","pos_indonesia_postcode_search","https://kodepos.posindonesia.co.id/CariKodepos","2026-08-11","exact_village_district_city_province_match","Project owner selected Pos Indonesia result as the final postal code.","","not_required"
"32.01.01.1013","32","JAWA BARAT","32.01","KAB. BOGOR","32.01.01","CIBINONG","PABUARAN MEKAR","16916","16916","corroborated_by_two_sources","diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api","16916","","16916","16916","pos_indonesia_finalized","high","no","Project owner selected the Pos Indonesia exact hierarchy result as final.","no","","diskominfo:32.01.01.1013;open_data_jabar:32.01.01.1013;kodepos_dev:32.01.01.1013","diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api","diskominfo:14;open_data_jabar:17362;kodepos_dev:14","2026-08-11","two_source_candidate","16916","diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api","","","","1","16916","matches_both","https://kodepos.posindonesia.co.id/CariKodepos","project_owner","completed","accept_both","16916","pos_indonesia_postcode_search","https://kodepos.posindonesia.co.id/CariKodepos","2026-08-11","exact_village_district_city_province_match","Project owner selected Pos Indonesia result as the final postal code.","","not_required"
"32.01.02.2010","32","JAWA BARAT","32.01","KAB. BOGOR","32.01.02","GUNUNG PUTRI","KARANGGAN","16961","16960","corroborated_by_two_sources","open_data_jabar_postal_2023;kodepos_dev_rest_api","16961","16960","16960","16960;16961","pos_indonesia_finalized","high","no","Project owner selected the Pos Indonesia exact hierarchy result as final.","no","","diskominfo:32.01.02.2010;open_data_jabar:32.01.02.2010;kodepos_dev:32.01.02.2010","diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api","diskominfo:24;open_data_jabar:17373;kodepos_dev:24","2026-08-11","two_source_candidate","16960","open_data_jabar_postal_2023;kodepos_dev_rest_api","","","","1","16961","matches_diskominfo","https://kodepos.posindonesia.co.id/CariKodepos","project_owner","completed","accept_diskominfo","16961","pos_indonesia_postcode_search","https://kodepos.posindonesia.co.id/CariKodepos","2026-08-11","exact_village_district_city_province_match","Project owner selected Pos Indonesia result as the final postal code.","","not_required"
"32.01.03.1006","32","JAWA BARAT","32.01","KAB. BOGOR","32.01.03","CITEUREUP","PUSPANEGARA","16811","16811","corroborated_by_two_sources","diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api","16811","16810","16811","16810;16811","pos_indonesia_finalized","high","no","Project owner selected the Pos Indonesia exact hierarchy result as final.","no","","diskominfo:32.01.03.1006;open_data_jabar:32.01.03.1006;kodepos_dev:32.01.03.1006","diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api","diskominfo:30;open_data_jabar:17374;kodepos_dev:25","2026-08-11","two_source_candidate","16811","diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api","","","","1","16811","matches_both","https://kodepos.posindonesia.co.id/CariKodepos","project_owner","completed","accept_both","16811","pos_indonesia_postcode_search","https://kodepos.posindonesia.co.id/CariKodepos","2026-08-11","exact_village_district_city_province_match","Project owner selected Pos Indonesia result as the final postal code.","","not_required"
"32.01.03.2001","32","JAWA BARAT","32.01","KAB. BOGOR","32.01.03","CITEUREUP","PUSPASARI","16811","16811","corroborated_by_two_sources","diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api","16811","16810","16811","16810;16811","pos_indonesia_finalized","high","no","Project owner selected the Pos Indonesia exact hierarchy result as final.","no","","diskominfo:32.01.03.2001;open_data_jabar:32.01.03.2001;kodepos_dev:32.01.03.2001","diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api","diskominfo:25;open_data_jabar:17376;kodepos_dev:27","2026-08-11","two_source_candidate","16811","diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api","","","","1","16811","matches_both","https://kodepos.posindonesia.co.id/CariKodepos","project_owner","completed","accept_both","16811","pos_indonesia_postcode_search","https://kodepos.posindonesia.co.id/CariKodepos","2026-08-11","exact_village_district_city_province_match","Project owner selected Pos Indonesia result as the final postal code.","","not_required"
"32.01.03.2002","32","JAWA BARAT","32.01","KAB. BOGOR","32.01.03","CITEUREUP","CITEUREUP","16811","16811","corroborated_by_two_sources","diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api","16811","16810","16811","16810;16811","pos_indonesia_finalized","high","no","Project owner selected the Pos Indonesia exact hierarchy result as final.","no","","diskominfo:32.01.03.2002;open_data_jabar:32.01.03.2002;kodepos_dev:32.01.03.2002","diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api","diskominfo:26;open_data_jabar:17377;kodepos_dev:28","2026-08-11","two_source_candidate","16811","diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api","","","","1","16811","matches_both","https://kodepos.posindonesia.co.id/CariKodepos","project_owner","completed","accept_both","16811","pos_indonesia_postcode_search","https://kodepos.posindonesia.co.id/CariKodepos","2026-08-11","exact_village_district_city_province_match","Project owner selected Pos Indonesia result as the final postal code.","","not_required"
"32.01.05.2001","32","JAWA BARAT","32.01","KAB. BOGOR","32.01.05","BABAKAN MADANG","CIJAYANTI","16864","16810","corroborated_by_two_sources","open_data_jabar_postal_2023;kodepos_dev_rest_api","16864","16810","16810","16810;16864","pos_indonesia_finalized","high","no","Project owner selected the Pos Indonesia exact hierarchy result as final.","no","","diskominfo:32.01.05.2001;open_data_jabar:32.01.05.2001;kodepos_dev:32.01.05.2001","diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api","diskominfo:52;open_data_jabar:17404;kodepos_dev:52","2026-08-11","two_source_candidate","16810","open_data_jabar_postal_2023;kodepos_dev_rest_api","","","","1","16864","matches_diskominfo","https://kodepos.posindonesia.co.id/CariKodepos","project_owner","completed","accept_diskominfo","16864","pos_indonesia_postcode_search","https://kodepos.posindonesia.co.id/CariKodepos","2026-08-11","exact_village_district_city_province_match","Project owner selected Pos Indonesia result as the final postal code.","","not_required"
"32.01.05.2002","32","JAWA BARAT","32.01","KAB. BOGOR","32.01.05","BABAKAN MADANG","SUMURBATU","16866","16810","corroborated_by_two_sources","open_data_jabar_postal_2023;kodepos_dev_rest_api","16866","16810","16810","16810;16866","pos_indonesia_finalized","high","no","Project owner selected the Pos Indonesia exact hierarchy result as final.","no","","diskominfo:32.01.05.2002;open_data_jabar:32.01.05.2002;kodepos_dev:32.01.05.2002","diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api","diskominfo:53;open_data_jabar:17405;kodepos_dev:53","2026-08-11","two_source_candidate","16810","open_data_jabar_postal_2023;kodepos_dev_rest_api","","","","1","16866","matches_diskominfo","https://kodepos.posindonesia.co.id/CariKodepos","project_owner","completed","accept_diskominfo","16866","pos_indonesia_postcode_search","https://kodepos.posindonesia.co.id/CariKodepos","2026-08-11","exact_village_district_city_province_match","Project owner selected Pos Indonesia result as the final postal code.","","not_required"
"32.01.05.2003","32","JAWA BARAT","32.01","KAB. BOGOR","32.01.05","BABAKAN MADANG","SENTUL","16863","16810","corroborated_by_two_sources","open_data_jabar_postal_2023;kodepos_dev_rest_api","16863","16810","16810","16810;16863","pos_indonesia_finalized","high","no","Project owner selected the Pos Indonesia exact hierarchy result as final.","no","","diskominfo:32.01.05.2003;open_data_jabar:32.01.05.2003;kodepos_dev:32.01.05.2003","diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api","diskominfo:54;open_data_jabar:17406;kodepos_dev:54","2026-08-11","two_source_candidate","16810","open_data_jabar_postal_2023;kodepos_dev_rest_api","","","","1","16863","matches_diskominfo","https://kodepos.posindonesia.co.id/CariKodepos","project_owner","completed","accept_diskominfo","16863","pos_indonesia_postcode_search","https://kodepos.posindonesia.co.id/CariKodepos","2026-08-11","exact_village_district_city_province_match","Project owner selected Pos Indonesia result as the final postal code.","","not_required"
