village_code,province_code,province_name,city_code,city_name,district_code,district_name,village_name,postal_code,postal_code_candidate,candidate_status,candidate_sources,postal_code_diskominfo,postal_code_open_data_jabar,postal_code_kodepos_dev,postal_candidates,verification_status,confidence,review_required,selected_reason,administrative_resolution_applied,former_village_code,source_village_codes,source_ids,source_rows,snapshot,review_case_type,suggested_postal_code,suggestion_basis,unresolved_pattern,district_cluster_id,triplet_cluster_id,affected_rows_if_same_pattern,existing_pos_observation,existing_pos_match,existing_pos_evidence_url,reviewer,review_status,review_decision,reviewed_postal_code,evidence_source_name,evidence_url,evidence_checked_at,evidence_scope,review_notes,second_reviewer,second_review_status
32.01.07.2011,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.07,CILEUNGSI,LIMUSNUNGGAL,,,,,16829,16829,16820,16820;16829,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.07.2011;open_data_jabar:32.01.07.2011;kodepos_dev:32.01.07.2011,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:85;open_data_jabar:17440;kodepos_dev:85,2026-08-11,local_government_consensus_api_conflict,16829,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.08.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.08,CARIU,KUTAMEKAR,,,,,16846,16846,16840,16840;16846,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.08.2004;open_data_jabar:32.01.08.2004;kodepos_dev:32.01.08.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:90;open_data_jabar:17445;kodepos_dev:90,2026-08-11,local_government_consensus_api_conflict,16846,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.13.2001,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.13,BOJONG GEDE,BOJONGBARU,,,,,16926,16926,16920,16920;16926,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.13.2001;open_data_jabar:32.01.13.2001;kodepos_dev:32.01.13.2001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:135;open_data_jabar:17497;kodepos_dev:136,2026-08-11,local_government_consensus_api_conflict,16926,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.13.2002,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.13,BOJONG GEDE,CIMANGGIS,,,,,16924,16924,16920,16920;16924,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.13.2002;open_data_jabar:32.01.13.2002;kodepos_dev:32.01.13.2002,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:136;open_data_jabar:17498;kodepos_dev:137,2026-08-11,local_government_consensus_api_conflict,16924,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.13.2003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.13,BOJONG GEDE,SUSUKAN,,,,,16929,16929,16920,16920;16929,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.13.2003;open_data_jabar:32.01.13.2003;kodepos_dev:32.01.13.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:137;open_data_jabar:17499;kodepos_dev:138,2026-08-11,local_government_consensus_api_conflict,16929,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.13.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.13,BOJONG GEDE,RAGAJAYA,,,,,16928,16928,16920,16920;16928,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.13.2004;open_data_jabar:32.01.13.2004;kodepos_dev:32.01.13.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:138;open_data_jabar:17500;kodepos_dev:139,2026-08-11,local_government_consensus_api_conflict,16928,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.13.2006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.13,BOJONG GEDE,WARINGINJAYA,,,,,16925,16925,16920,16920;16925,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.13.2006;open_data_jabar:32.01.13.2006;kodepos_dev:32.01.13.2006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:140;open_data_jabar:17502;kodepos_dev:141,2026-08-11,local_government_consensus_api_conflict,16925,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.13.2008,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.13,BOJONG GEDE,RAWAPANJANG,,,,,16927,16927,16920,16920;16927,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.13.2008;open_data_jabar:32.01.13.2008;kodepos_dev:32.01.13.2008,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:142;open_data_jabar:17504;kodepos_dev:142,2026-08-11,local_government_consensus_api_conflict,16927,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.14.2009,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.14,LEUWILIANG,CIBEBER I,,,,,16642,16642,16640,16640;16642,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.14.2009;open_data_jabar:32.01.14.2009;kodepos_dev:32.01.14.2009,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:152;open_data_jabar:17515;kodepos_dev:152,2026-08-11,local_government_consensus_api_conflict,16642,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.14.2010,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.14,LEUWILIANG,CIBEBER II,,,,,16642,16642,16640,16640;16642,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.14.2010;open_data_jabar:32.01.14.2010;kodepos_dev:32.01.14.2010,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:153;open_data_jabar:17516;kodepos_dev:153,2026-08-11,local_government_consensus_api_conflict,16642,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.16.2005,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.16,CIBUNGBULANG,CIARUTEUN UDIK,,,,,16637,16637,16630,16630;16637,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.16.2005;open_data_jabar:32.01.16.2005;kodepos_dev:32.01.16.2005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:172;open_data_jabar:17537;kodepos_dev:172,2026-08-11,local_government_consensus_api_conflict,16637,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.16.2011,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.16,CIBUNGBULANG,CIARUTEUN ILIR,,,,,16637,16637,16630,16630;16637,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.16.2011;open_data_jabar:32.01.16.2011;kodepos_dev:32.01.16.2011,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:178;open_data_jabar:17543;kodepos_dev:178,2026-08-11,local_government_consensus_api_conflict,16637,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
