village_code,province_code,province_name,city_code,city_name,district_code,district_name,village_name,postal_code,postal_code_candidate,candidate_status,candidate_sources,postal_code_diskominfo,postal_code_open_data_jabar,postal_code_kodepos_dev,postal_candidates,verification_status,confidence,review_required,selected_reason,administrative_resolution_applied,former_village_code,source_village_codes,source_ids,source_rows,snapshot
32.01.01.1001,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,PONDOK RAJEG,,16914,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16913,16914,16914,16913;16914,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.01.1001;open_data_jabar:32.01.01.1001;kodepos_dev:32.01.01.1001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:2;open_data_jabar:17349;kodepos_dev:2,2026-08-11
32.01.01.1010,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,CIRIUNG,,16918,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16919,16918,16918,16918;16919,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.01.1010;open_data_jabar:32.01.01.1010;kodepos_dev:32.01.01.1010,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:11;open_data_jabar:17358;kodepos_dev:11,2026-08-11
32.01.01.1013,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,PABUARAN MEKAR,,16916,corroborated_by_two_sources,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api,16916,,16916,16916,corroborated_candidate,medium,yes,Kodepos.dev corroborates Diskominfo; candidate is not accepted as final.,no,,diskominfo:32.01.01.1013;open_data_jabar:32.01.01.1013;kodepos_dev:32.01.01.1013,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:14;open_data_jabar:17362;kodepos_dev:14,2026-08-11
32.01.02.2010,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,KARANGGAN,,16960,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16961,16960,16960,16960;16961,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.02.2010;open_data_jabar:32.01.02.2010;kodepos_dev:32.01.02.2010,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:24;open_data_jabar:17373;kodepos_dev:24,2026-08-11
32.01.03.1006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,PUSPANEGARA,,16811,corroborated_by_two_sources,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api,16811,16810,16811,16810;16811,corroborated_candidate,medium,yes,Kodepos.dev corroborates Diskominfo; candidate is not accepted as final.,no,,diskominfo:32.01.03.1006;open_data_jabar:32.01.03.1006;kodepos_dev:32.01.03.1006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:30;open_data_jabar:17374;kodepos_dev:25,2026-08-11
32.01.03.1007,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,KARANG ASEM BARAT,,,,,16812,16810,16811,16810;16811;16812,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.1007;open_data_jabar:32.01.03.1007;kodepos_dev:32.01.03.1007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:31;open_data_jabar:17375;kodepos_dev:26,2026-08-11
32.01.03.2001,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,PUSPASARI,,16811,corroborated_by_two_sources,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api,16811,16810,16811,16810;16811,corroborated_candidate,medium,yes,Kodepos.dev corroborates Diskominfo; candidate is not accepted as final.,no,,diskominfo:32.01.03.2001;open_data_jabar:32.01.03.2001;kodepos_dev:32.01.03.2001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:25;open_data_jabar:17376;kodepos_dev:27,2026-08-11
32.01.03.2002,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,CITEUREUP,,16811,corroborated_by_two_sources,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api,16811,16810,16811,16810;16811,corroborated_candidate,medium,yes,Kodepos.dev corroborates Diskominfo; candidate is not accepted as final.,no,,diskominfo:32.01.03.2002;open_data_jabar:32.01.03.2002;kodepos_dev:32.01.03.2002,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:26;open_data_jabar:17377;kodepos_dev:28,2026-08-11
32.01.03.2003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,LEUWINUTUG,,,,,16813,16810,16811,16810;16811;16813,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2003;open_data_jabar:32.01.03.2003;kodepos_dev:32.01.03.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:27;open_data_jabar:17378;kodepos_dev:29,2026-08-11
32.01.03.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,TAJUR,,,,,16817,16810,16811,16810;16811;16817,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2004;open_data_jabar:32.01.03.2004;kodepos_dev:32.01.03.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:28;open_data_jabar:17379;kodepos_dev:30,2026-08-11
