queue_rank,spotcheck_id,spotcheck_priority,impact_row_count,selection_reason,triplet_cluster_id,district_cluster_id,district_cluster_size,province_code,province_name,city_code,city_name,district_code,district_name,village_code,village_name,postal_code_diskominfo,postal_code_open_data_jabar,postal_code_kodepos_dev,unresolved_pattern,search_term,search_context,official_search_url,review_status,official_postal_code,matched_sources,evidence_checked_at,evidence_url,review_note
1,POS-49F6B3040293,P0_missing_source,10,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-A2DD5BB38B5B,DIST-8A10DCEBAD2D,10,32,JAWA BARAT,32.07,KAB. CIAMIS,32.07.37,BANJARANYAR,32.07.37.2001,PASAWAHAN,46283,,46384,open_data_jabar_missing_api_diskominfo_different,PASAWAHAN,PASAWAHAN | BANJARANYAR | KAB. CIAMIS | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,observed_matches_source,46283,diskominfo,2026-08-11,https://kodepos.posindonesia.co.id/CariKodepos,Selected manual query 'PASAWAHAN'; official result row matched Pasawahan / Banjaranyar / Kab. Ciamis / Jawa Barat. Evidence remains on hold and is not promoted automatically.
2,POS-DF437AECFF7F,P0_missing_source,3,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-5DACA52588D6,DIST-0EFA39C467C6,3,32,JAWA BARAT,32.06,KAB. TASIKMALAYA,32.06.21,KARANG JAYA,32.06.21.2002,KARANG JAYA,,46499,46199,diskominfo_missing_api_odj_different,KARANG JAYA,KARANG JAYA | KARANG JAYA | KAB. TASIKMALAYA | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
3,POS-EA5CA66158E3,P0_missing_source,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-8B293ABE60B5,DIST-1F3A4D5FFE15,1,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.07,CILEUNGSI,32.01.07.2009,SITUSARI,16824,,16820,open_data_jabar_missing_api_diskominfo_different,SITUSARI,SITUSARI | CILEUNGSI | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
4,POS-DE2EA68C8643,P0_missing_source,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-6F9A4A321E90,DIST-31AAEE977072,1,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.42,CURUGKEMBAR,32.02.42.2006,NAGRAKJAYA,43382,,43182,open_data_jabar_missing_api_diskominfo_different,NAGRAKJAYA,NAGRAKJAYA | CURUGKEMBAR | KAB. SUKABUMI | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
5,POS-143433C0C62B,P0_missing_source,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-D94A6E04FE5A,DIST-2905CE6E72AA,1,32,JAWA BARAT,32.03,KAB. CIANJUR,32.03.31,HAURWANGI,32.03.31.2004,MEKARWANGI/SUKATANI,43286,,43280,open_data_jabar_missing_api_diskominfo_different,MEKARWANGI/SUKATANI,MEKARWANGI/SUKATANI | HAURWANGI | KAB. CIANJUR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
6,POS-2CAE9D205083,P0_missing_source,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-8BE2F9BE9234,DIST-1E75E40AA7AB,1,32,JAWA BARAT,32.08,KAB. KUNINGAN,32.08.09,KUNINGAN,32.08.09.2015,KASTURI,45521,,45553,open_data_jabar_missing_api_diskominfo_different,KASTURI,KASTURI | KUNINGAN | KAB. KUNINGAN | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
7,POS-B0BE13E07A0D,P0_missing_source,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-7CCE27112FF7,DIST-986FF375E59B,1,32,JAWA BARAT,32.16,KAB. BEKASI,32.16.09,CIKARANG UTARA,32.16.09.2009,HAJARMEKAR,17835,,17534,open_data_jabar_missing_api_diskominfo_different,HAJARMEKAR,HAJARMEKAR | CIKARANG UTARA | KAB. BEKASI | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
8,POS-B7E88192D743,P0_missing_source,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-AA0B5294AD14,DIST-9F812F5030E3,1,32,JAWA BARAT,32.72,KOTA SUKABUMI,32.72.05,BAROS,32.72.05.1004,SUDAJAYA HILIR,43167,,43161,open_data_jabar_missing_api_diskominfo_different,SUDAJAYA HILIR,SUDAJAYA HILIR | BAROS | KOTA SUKABUMI | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
9,POS-B71905A9E57B,P0_missing_source,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-84C08C5F25FB,DIST-F3C58EA188CD,1,32,JAWA BARAT,32.73,KOTA BANDUNG,32.73.23,RANCASARI,32.73.23.1004,MEKARMULYA,40298,,40292,open_data_jabar_missing_api_diskominfo_different,MEKARMULYA,MEKARMULYA | RANCASARI | KOTA BANDUNG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
10,POS-7CCF28865A7A,P0_missing_source,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-7D4598A9259E,DIST-5187632352E0,1,32,JAWA BARAT,32.73,KOTA BANDUNG,32.73.24,ARCAMANIK,32.73.24.1004,SINDANGLAYA/CISANTRE N ENDAH,40399,,40293,open_data_jabar_missing_api_diskominfo_different,SINDANGLAYA/CISANTRE N ENDAH,SINDANGLAYA/CISANTRE N ENDAH | ARCAMANIK | KOTA BANDUNG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
11,POS-905E64F8C5B5,P0_missing_source,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-7E2F66B25363,DIST-8B5BA158EFF1,1,32,JAWA BARAT,32.73,KOTA BANDUNG,32.73.27,GEDEBAGE,32.73.27.1001,CIMENERANG,40295,,40294,open_data_jabar_missing_api_diskominfo_different,CIMENERANG,CIMENERANG | GEDEBAGE | KOTA BANDUNG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
