district_cluster_id,city_code,city_name,district_code,district_name,unresolved_pattern,row_count,triplet_cluster_count,diskominfo_postal_values,open_data_jabar_postal_values,kodepos_dev_postal_values,example_village_codes,example_village_names
DIST-338A783B18C4,32.09,KAB. CIREBON,32.09.18,PLUMBON,all_three_different,15,1,45655,45155,45158,32.09.18.2001;32.09.18.2002;32.09.18.2003;32.09.18.2004;32.09.18.2005,CEMPAKA;PAMIJAHAN;LURAH;MARIKANGEN;BODE LOR
DIST-355F90E49129,32.06,KAB. TASIKMALAYA,32.06.01,CIPATUJAH,all_three_different,14,1,46489,46189,46187,32.06.01.2001;32.06.01.2002;32.06.01.2003;32.06.01.2004;32.06.01.2006,CIHERAS;CIPATUJAH;SINDANGKERTA;CIKAWUNGGADING;DARAWATI
DIST-CFE8F3C5001C,32.01,KAB. BOGOR,32.01.04,SUKARAJA,all_three_different,13,9,16712;16713;16714;16715;16716;16717;16718;16719,16710;38877,16711,32.01.04.2001;32.01.04.2002;32.01.04.2003;32.01.04.2004;32.01.04.2005,GUNUNGGEULIS;CILEBUT TIMUR;CILEBUT BARAT;CIBANON;NAGRAK
DIST-0DBB321B096F,32.01,KAB. BOGOR,32.01.17,PAMIJAHAN,all_three_different,13,8,16691;16692;16693;16694;16695;16696;16698;16699,16810,16812,32.01.17.2001;32.01.17.2002;32.01.17.2003;32.01.17.2004;32.01.17.2006,PURWABAKTI;CIBUNIAN;CIBITUNGWETAN;GUNUNGMENYAN;PASAREAN
DIST-6769D730E200,32.12,KAB. INDRAMAYU,32.12.30,TUKDANA,all_three_different,13,1,45276,45272,45270,32.12.30.2001;32.12.30.2002;32.12.30.2003;32.12.30.2004;32.12.30.2005,BODAS;GADEL;RANCAJAWAT;KERTICALA;CANGKO
DIST-0A91CE8C52D5,32.05,KAB. GARUT,32.05.05,TAROGONG KIDUL,all_three_different,12,9,44121;44122;44123;44124;44125;44126;44127;44128;44129,44151,44150,32.05.05.1001;32.05.05.1002;32.05.05.1006;32.05.05.1009;32.05.05.1012,PATARUMAN;SUKAGALIH;JAYAWARAS;SUKAKARYA;SUKAJAYA
DIST-E1DCABF29DB3,32.09,KAB. CIREBON,32.09.01,WALED,all_three_different,12,1,45687,45187,45180,32.09.01.2008;32.09.01.2009;32.09.01.2010;32.09.01.2011;32.09.01.2012,WALED DESA;WALED KOTA;MEKARSARI;WALED ASEM;AMBIT
DIST-9F3BF3F19334,32.09,KAB. CIREBON,32.09.17,PALIMANAN,all_three_different,12,1,45661,45161,45160,32.09.17.2002;32.09.17.2003;32.09.17.2004;32.09.17.2005;32.09.17.2006,CILUKRAK;KEPUH;BALERANTE;PANONGAN;BEBERAN
DIST-661E056571CE,32.11,KAB. SUMEDANG,32.11.15,JATINANGOR,all_three_different,12,1,45367,45363,45360,32.11.15.2001;32.11.15.2002;32.11.15.2003;32.11.15.2004;32.11.15.2005,CIKERUH;HEGARMANAH;CIBEUSI;CIPACING;SAYANG
DIST-D5B42F5CB317,32.01,KAB. BOGOR,32.01.03,CITEUREUP,all_three_different,11,8,16812;16813;16814;16815;16816;16817;16818;16819,16810,16811,32.01.03.1007;32.01.03.2003;32.01.03.2004;32.01.03.2005;32.01.03.2008,KARANG ASEM BARAT;LEUWINUTUG;TAJUR;SANJA;KARANG ASEM TIMUR
DIST-E9D8298D91DC,32.02,KAB. SUKABUMI,32.02.21,JAMPANGKULON,all_three_different,11,1,43378,43178,43170,32.02.21.1001;32.02.21.2002;32.02.21.2003;32.02.21.2005;32.02.21.2007,JAMPANGKULON;BOJONGGENTENG;CIKARANG;BOJONGSARI;NAGRAKSARI
DIST-BF2A178CAD8D,32.17,KAB. BANDUNG BARAT,32.17.11,CILILIN,all_three_different,11,1,40762,40562,40567,32.17.11.2001;32.17.11.2002;32.17.11.2003;32.17.11.2004;32.17.11.2005,CILILIN;BUDIHARJA;BATULAYANG;BONGAS;KARANGANYAR
DIST-CDECEF2B458C,32.01,KAB. BOGOR,32.01.09,SUKAMAKMUR,all_three_different,10,9,16881;16882;16883;16884;16885;16886;16887;16888;16889,16830,16831,32.01.09.2001;32.01.09.2002;32.01.09.2003;32.01.09.2004;32.01.09.2005,WARGAJAYA;PABUARAN;SUKADAMAI;SUKAWANGI;CIBADAK
DIST-74661E876607,32.03,KAB. CIANJUR,32.03.26,CIKADU,all_three_different,10,1,43276,43284,43286,32.03.26.2001;32.03.26.2002;32.03.26.2003;32.03.26.2004;32.03.26.2005,KALAPANUNGGAL;CIKADU;MEKARWANGI;PADALUYU;SUKAMULYA
DIST-43B36823F8B0,32.06,KAB. TASIKMALAYA,32.06.19,JATIWARAS,all_three_different,10,1,46491,46185,46180,32.06.19.2001;32.06.19.2002;32.06.19.2003;32.06.19.2004;32.06.19.2005,KAPUTIHAN;SETIAWANGI;SUKAKERTA;NEGLASARI;JATIWARAS
DIST-8A10DCEBAD2D,32.07,KAB. CIAMIS,32.07.37,BANJARANYAR,open_data_jabar_missing_api_diskominfo_different,10,1,46283,,46384,32.07.37.2001;32.07.37.2002;32.07.37.2003;32.07.37.2004;32.07.37.2005,PASAWAHAN;BANJARANYAR;CIGAYAM;LANGKAPSARI;KALIJAYA
DIST-F78F139CEDDC,32.10,KAB. MAJALENGKA,32.10.24,KASOKANDEL,all_three_different,10,1,45477,45453,45451,32.10.24.2001;32.10.24.2002;32.10.24.2003;32.10.24.2004;32.10.24.2005,JATISAWIT;LEUWIKIDANG;RANJI KULON;RANJI WETAN;GUNUNGSARI
DIST-4C6925305765,32.10,KAB. MAJALENGKA,32.10.26,MALAUSMA,all_three_different,10,1,45469,45464,45460,32.10.26.2001;32.10.26.2002;32.10.26.2003;32.10.26.2004;32.10.26.2005,SUKADANA;WERASARI;MALAUSMA;LEBAKWANGI;CIMUNCANG
DIST-81B9D0F3B1F2,32.13,KAB. SUBANG,32.13.27,DAWUAN,all_three_different,10,1,41273,41271,41270,32.13.27.2001;32.13.27.2002;32.13.27.2003;32.13.27.2004;32.13.27.2005,MANYETI;RAWALELE;SUKASARI;SITUSARI;DAWUAN KALER
DIST-12672CFB40A6,32.14,KAB. PURWAKARTA,32.14.14,CIBATU,all_three_different,10,2,41183,41181;44185,41182,32.14.14.2001;32.14.14.2002;32.14.14.2003;32.14.14.2004;32.14.14.2005,CIBATU;CILANDAK;KARYAMEKAR;CIPINANG;CIPARUNGSARI
DIST-8A341691BE07,32.15,KAB. KARAWANG,32.15.30,CILEBAR,all_three_different,10,2,41387,41353;41385,41350,32.15.30.2001;32.15.30.2002;32.15.30.2003;32.15.30.2004;32.15.30.2005,KERTAMUKTI;RAWASARI;PUSAKAJAYA SELATAN;CIKANDE;KOSAMBIBATU
DIST-8E5C43478AA9,32.01,KAB. BOGOR,32.01.35,SUKAJAYA,all_three_different,9,9,16141;16291;16292;16293;16294;16296;16298;16299;16836,16660,16661,32.01.35.2001;32.01.35.2002;32.01.35.2003;32.01.35.2005;32.01.35.2007,CISARUA;KIARASARI;SUKAJAYA;CILEUKSA;HARKATJAYA
DIST-F96FCC1F4A8A,32.07,KAB. CIAMIS,32.07.35,PURWADADI,all_three_different,9,1,46286,46385,46380,32.07.35.2001;32.07.35.2002;32.07.35.2003;32.07.35.2004;32.07.35.2005,BANTARDAWA;PURWADADI;PURWAJAYA;KARANGPANINGAL;SIDARAHAYU
DIST-E89963DE60B9,32.09,KAB. CIREBON,32.09.23,KLANGENAN,all_three_different,9,1,45656,45156,45157,32.09.23.2001;32.09.23.2002;32.09.23.2003;32.09.23.2007;32.09.23.2008,SERANG;KLANGENAN;DANAWINANGUN;PAKANTINGAN;JEMARAS KIDUL
DIST-4F71F650D858,32.09,KAB. CIREBON,32.09.30,GEBANG,all_three_different,9,1,45694,45191,45190,32.09.30.2001;32.09.30.2002;32.09.30.2003;32.09.30.2004;32.09.30.2005,DOMPYONG KULON;DOMPYONG WETAN;KALIMEKAR;KALIMORO;GAGASARI
DIST-8295F7D34955,32.09,KAB. CIREBON,32.09.34,KARANGWARENG,all_three_different,9,1,45695,45186,45184,32.09.34.2001;32.09.34.2002;32.09.34.2003;32.09.34.2004;32.09.34.2005,SEUSEUPAN;BLENDER;SUMURKONDANG;KUBANGDELEG;JATIPIRING
DIST-9E2AACCAB0EE,32.09,KAB. CIREBON,32.09.39,SURANENGGALA,all_three_different,9,1,45659,45152,45150,32.09.39.2003;32.09.39.2004;32.09.39.2005;32.09.39.2006;32.09.39.2007,MUARA;PURWAWINANGUN;KERATON;SURAKARTA;KARANGREJA
DIST-2E12D41F0B1E,32.11,KAB. SUMEDANG,32.11.21,TANJUNGMEDAR,all_three_different,9,1,45355,45354,45352,32.11.21.2001;32.11.21.2002;32.11.21.2003;32.11.21.2004;32.11.21.2005,CIKARAMAS;WARGALUYU;JINGKANG;KAMAL;KERTAMUKTI
DIST-32F1280A9697,32.13,KAB. SUBANG,32.13.25,TAMBAKDAHAN,all_three_different,9,1,41265,41253,41267,32.13.25.2001;32.13.25.2002;32.13.25.2003;32.13.25.2004;32.13.25.2005,TANJUNGRASA;WANAJAYA;GARDUMUKTI;MARIUK;KERTAJAYA
DIST-8E4D96D8AC70,32.15,KAB. KARAWANG,32.15.03,TELUKJAMBE TIMUR,all_three_different,9,9,41331;41332;41333;41334;41335;41336;41337;41338;41339,41361,41360,32.15.03.2001;32.15.03.2002;32.15.03.2003;32.15.03.2004;32.15.03.2005,TELUKJAMBE;SUKAHARJA;SIRNABAYA;PUSEURJAYA;SUKALUYU
DIST-E3E4E12D73E6,32.15,KAB. KARAWANG,32.15.25,KOTA BARU,all_three_different,9,1,41377,41374,41376,32.15.25.2001;32.15.25.2002;32.15.25.2003;32.15.25.2004;32.15.25.2005,WANCIMEKAR;PANGULAH SELATAN;PANGULAH UTARA;PANGULAH BARU;PUCUNG
DIST-0F2B51876381,32.01,KAB. BOGOR,32.01.36,TANJUNGSARI,all_three_different,8,7,16852;16853;16854;16855;16857;16858;16859,16266;16840,16841,32.01.36.2002;32.01.36.2004;32.01.36.2005;32.01.36.2006;32.01.36.2007,SELAWANGI;ANTAJAYA;PASIR TANJUNG;CIBADAK;SUKARASA
DIST-3E8E7D7547F3,32.06,KAB. TASIKMALAYA,32.06.39,SUKARESIK,all_three_different,8,1,46459,46418,46419,32.06.39.2001;32.06.39.2002;32.06.39.2003;32.06.39.2004;32.06.39.2005,CIPONDOK;SUKAMENAK;SUKARATU;BANJARSARI;TANJUNGSARI
DIST-C878B7F58E7E,32.12,KAB. INDRAMAYU,32.12.19,ARAHAN,all_three_different,8,1,45259,45365,45267,32.12.19.2001;32.12.19.2002;32.12.19.2003;32.12.19.2004;32.12.19.2005,ARAHAN KIDUL;ARAHAN LOR;LINGGAJATI;CIDEMPET;SUKADADI
DIST-B99CFB67C03E,32.13,KAB. SUBANG,32.13.22,CIKAUM,all_three_different,8,1,41264,41253,41266,32.13.22.2002;32.13.22.2003;32.13.22.2004;32.13.22.2005;32.13.22.2006,SINDANGSARI;CIKAUM BARAT;CIKAUM TIMUR;TANJUNGSARI BARAT;MEKARSARI
DIST-39E7B2C3CA28,32.13,KAB. SUBANG,32.13.26,KASOMALANG,all_three_different,8,2,41289,41281;41283,41287,32.13.26.2001;32.13.26.2002;32.13.26.2003;32.13.26.2004;32.13.26.2005,SINDANGSARI;PASANGGRAHAN;BOJONGLOA;SUKAMELANG;TENJOLAYA
