village_code,province_code,province_name,city_code,city_name,district_code,district_name,village_name,postal_code,postal_code_candidate,candidate_status,candidate_sources,postal_code_diskominfo,postal_code_open_data_jabar,postal_code_kodepos_dev,postal_candidates,verification_status,confidence,review_required,selected_reason,administrative_resolution_applied,former_village_code,source_village_codes,source_ids,source_rows,snapshot,unresolved_pattern,district_cluster_id,district_cluster_size,triplet_cluster_id,triplet_cluster_size,review_priority
32.09.18.2001,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.18,PLUMBON,CEMPAKA,,,,,45655,45155,45158,45155;45158;45655,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.09.18.2001;open_data_jabar:32.09.18.2001;kodepos_dev:32.09.18.2001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:3092;open_data_jabar:20782;kodepos_dev:3092,2026-08-11,all_three_different,DIST-338A783B18C4,15,TRIP-ABA1659D31D7,15,high
32.09.18.2002,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.18,PLUMBON,PAMIJAHAN,,,,,45655,45155,45158,45155;45158;45655,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.09.18.2002;open_data_jabar:32.09.18.2002;kodepos_dev:32.09.18.2002,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:3093;open_data_jabar:20783;kodepos_dev:3093,2026-08-11,all_three_different,DIST-338A783B18C4,15,TRIP-ABA1659D31D7,15,high
32.09.18.2003,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.18,PLUMBON,LURAH,,,,,45655,45155,45158,45155;45158;45655,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.09.18.2003;open_data_jabar:32.09.18.2003;kodepos_dev:32.09.18.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:3094;open_data_jabar:20784;kodepos_dev:3094,2026-08-11,all_three_different,DIST-338A783B18C4,15,TRIP-ABA1659D31D7,15,high
32.09.18.2004,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.18,PLUMBON,MARIKANGEN,,,,,45655,45155,45158,45155;45158;45655,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.09.18.2004;open_data_jabar:32.09.18.2004;kodepos_dev:32.09.18.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:3095;open_data_jabar:20785;kodepos_dev:3095,2026-08-11,all_three_different,DIST-338A783B18C4,15,TRIP-ABA1659D31D7,15,high
32.09.18.2005,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.18,PLUMBON,BODE LOR,,,,,45655,45155,45158,45155;45158;45655,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.09.18.2005;open_data_jabar:32.09.18.2005;kodepos_dev:32.09.18.2005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:3096;open_data_jabar:20786;kodepos_dev:3096,2026-08-11,all_three_different,DIST-338A783B18C4,15,TRIP-ABA1659D31D7,15,high
32.09.18.2006,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.18,PLUMBON,BODESARI,,,,,45655,45155,45158,45155;45158;45655,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.09.18.2006;open_data_jabar:32.09.18.2006;kodepos_dev:32.09.18.2006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:3097;open_data_jabar:20787;kodepos_dev:3097,2026-08-11,all_three_different,DIST-338A783B18C4,15,TRIP-ABA1659D31D7,15,high
32.09.18.2007,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.18,PLUMBON,GOMBANG,,,,,45655,45155,45158,45155;45158;45655,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.09.18.2007;open_data_jabar:32.09.18.2007;kodepos_dev:32.09.18.2007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:3098;open_data_jabar:20788;kodepos_dev:3098,2026-08-11,all_three_different,DIST-338A783B18C4,15,TRIP-ABA1659D31D7,15,high
32.09.18.2008,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.18,PLUMBON,KARANGMULYA,,,,,45655,45155,45158,45155;45158;45655,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.09.18.2008;open_data_jabar:32.09.18.2008;kodepos_dev:32.09.18.2008,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:3099;open_data_jabar:20789;kodepos_dev:3099,2026-08-11,all_three_different,DIST-338A783B18C4,15,TRIP-ABA1659D31D7,15,high
32.09.18.2009,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.18,PLUMBON,KARANGASEM,,,,,45655,45155,45158,45155;45158;45655,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.09.18.2009;open_data_jabar:32.09.18.2009;kodepos_dev:32.09.18.2009,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:3100;open_data_jabar:20790;kodepos_dev:3100,2026-08-11,all_three_different,DIST-338A783B18C4,15,TRIP-ABA1659D31D7,15,high
32.09.18.2010,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.18,PLUMBON,PLUMBON,,,,,45655,45155,45158,45155;45158;45655,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.09.18.2010;open_data_jabar:32.09.18.2010;kodepos_dev:32.09.18.2010,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:3101;open_data_jabar:20791;kodepos_dev:3101,2026-08-11,all_three_different,DIST-338A783B18C4,15,TRIP-ABA1659D31D7,15,high
