exception_id,village_code,village_name,district_name,city_name,exception_type,verification_status,postal_code_candidate,postal_candidates,pos_indonesia_observed,review_required,reason
POSTAL-3201011001,32.01.01.1001,PONDOK RAJEG,CIBINONG,KAB. BOGOR,candidate_review_only,corroborated_candidate,16914,16913;16914,,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.
POSTAL-3201011010,32.01.01.1010,CIRIUNG,CIBINONG,KAB. BOGOR,candidate_review_only,corroborated_candidate,16918,16918;16919,,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.
POSTAL-3201011013,32.01.01.1013,PABUARAN MEKAR,CIBINONG,KAB. BOGOR,candidate_review_only,corroborated_candidate,16916,16916,,yes,Kodepos.dev corroborates Diskominfo; candidate is not accepted as final.
POSTAL-3201022010,32.01.02.2010,KARANGGAN,GUNUNG PUTRI,KAB. BOGOR,candidate_review_only,corroborated_candidate,16960,16960;16961,,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.
POSTAL-3201031006,32.01.03.1006,PUSPANEGARA,CITEUREUP,KAB. BOGOR,candidate_review_only,corroborated_candidate,16811,16810;16811,,yes,Kodepos.dev corroborates Diskominfo; candidate is not accepted as final.
POSTAL-3201031007,32.01.03.1007,KARANG ASEM BARAT,CITEUREUP,KAB. BOGOR,unresolved_do_not_guess,review_required,,16810;16811;16812,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201032001,32.01.03.2001,PUSPASARI,CITEUREUP,KAB. BOGOR,candidate_review_only,corroborated_candidate,16811,16810;16811,,yes,Kodepos.dev corroborates Diskominfo; candidate is not accepted as final.
POSTAL-3201032002,32.01.03.2002,CITEUREUP,CITEUREUP,KAB. BOGOR,candidate_review_only,corroborated_candidate,16811,16810;16811,,yes,Kodepos.dev corroborates Diskominfo; candidate is not accepted as final.
POSTAL-3201032003,32.01.03.2003,LEUWINUTUG,CITEUREUP,KAB. BOGOR,unresolved_do_not_guess,review_required,,16810;16811;16813,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201032004,32.01.03.2004,TAJUR,CITEUREUP,KAB. BOGOR,unresolved_do_not_guess,review_required,,16810;16811;16817,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201032005,32.01.03.2005,SANJA,CITEUREUP,KAB. BOGOR,unresolved_do_not_guess,review_required,,16810;16811;16814,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201032008,32.01.03.2008,KARANG ASEM TIMUR,CITEUREUP,KAB. BOGOR,unresolved_do_not_guess,review_required,,16810;16811;16812,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201032009,32.01.03.2009,TARIKOLOT,CITEUREUP,KAB. BOGOR,unresolved_do_not_guess,review_required,,16810;16811;16819,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201032010,32.01.03.2010,GUNUNGSARI,CITEUREUP,KAB. BOGOR,unresolved_do_not_guess,review_required,,16810;16811;16819,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201032011,32.01.03.2011,TANGKIL,CITEUREUP,KAB. BOGOR,unresolved_do_not_guess,review_required,,16810;16811;16815,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201032012,32.01.03.2012,SUKAHATI,CITEUREUP,KAB. BOGOR,unresolved_do_not_guess,review_required,,16810;16811;16814,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201032013,32.01.03.2013,HAMBALANG,CITEUREUP,KAB. BOGOR,unresolved_do_not_guess,review_required,,16810;16811;16816,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201032014,32.01.03.2014,PASIRMUKTI,CITEUREUP,KAB. BOGOR,unresolved_do_not_guess,review_required,,16810;16811;16818,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201042001,32.01.04.2001,GUNUNGGEULIS,SUKARAJA,KAB. BOGOR,unresolved_do_not_guess,review_required,,16710;16711;16713,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201042002,32.01.04.2002,CILEBUT TIMUR,SUKARAJA,KAB. BOGOR,unresolved_do_not_guess,review_required,,16710;16711;16718,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201042003,32.01.04.2003,CILEBUT BARAT,SUKARAJA,KAB. BOGOR,unresolved_do_not_guess,review_required,,16710;16711;16718,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201042004,32.01.04.2004,CIBANON,SUKARAJA,KAB. BOGOR,unresolved_do_not_guess,review_required,,16710;16711;16712,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201042005,32.01.04.2005,NAGRAK,SUKARAJA,KAB. BOGOR,unresolved_do_not_guess,review_required,,16710;16711;16714,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201042006,32.01.04.2006,SUKATANI,SUKARAJA,KAB. BOGOR,unresolved_do_not_guess,review_required,,16710;16711;16719,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201042007,32.01.04.2007,SUKARAJA,SUKARAJA,KAB. BOGOR,unresolved_do_not_guess,review_required,,16711;16719;38877,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201042008,32.01.04.2008,CIKEAS,SUKARAJA,KAB. BOGOR,unresolved_do_not_guess,review_required,,16710;16711;16714,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201042009,32.01.04.2009,PASIR JAMBU,SUKARAJA,KAB. BOGOR,unresolved_do_not_guess,review_required,,16710;16711;16717,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
POSTAL-3201042010,32.01.04.2010,CIMANDALA,SUKARAJA,KAB. BOGOR,unresolved_do_not_guess,review_required,,16710;16711;16716,,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.
