record_id,province_code,province_name,province_aliases,city_code,city_name,city_aliases,district_code,district_name,district_aliases,village_code,village_name,village_aliases,former_village_code,bps_province_codes,bps_city_codes,bps_district_codes,bps_village_codes,postal_code,postal_code_candidate,postal_verification_status,postal_confidence,operational_status,review_required,postal_candidates,postal_code_diskominfo,postal_code_open_data_jabar,postal_code_kodepos_dev,postal_code_pos_indonesia_observed,pos_indonesia_match,pos_indonesia_checked_at,pos_indonesia_evidence_url,pos_indonesia_note,administrative_resolution_applied,source_ids,source_village_codes,source_rows,snapshot,use_policy
ID-3201011001,32,JAWA BARAT,,32.01,KAB. BOGOR,KABUPATEN BOGOR,32.01.01,CIBINONG,,32.01.01.1001,PONDOK RAJEG,,,32,3201,3201210,3201210008,16913,16914,verified_adjudicated,high,usable_verified,no,16913;16914,16913,16914,16914,16913,diskominfo,2026-08-11,https://kodepos.posindonesia.co.id/CariKodepos,"Exact village, district, city, and province match on Pos Indonesia.",no,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api;open_data_jabar_postal_2023;pos_indonesia_postcode_search,diskominfo:32.01.01.1001;open_data_jabar:32.01.01.1001;kodepos_dev:32.01.01.1001,diskominfo:2;open_data_jabar:17349;kodepos_dev:2,2026-08-11,Use for exact postal validation.
ID-3201011002,32,JAWA BARAT,,32.01,KAB. BOGOR,KABUPATEN BOGOR,32.01.01,CIBINONG,,32.01.01.1002,KARADENAN,,,32,3201,3201210,3201210001,16913,,verified_consensus,high,usable_verified,no,16913,16913,16913,16913,,,,,,no,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api;open_data_jabar_postal_2023,diskominfo:32.01.01.1002;open_data_jabar:32.01.01.1002;kodepos_dev:32.01.01.1002,diskominfo:3;open_data_jabar:17350;kodepos_dev:3,2026-08-11,Use for exact postal validation.
ID-3201011003,32,JAWA BARAT,,32.01,KAB. BOGOR,KABUPATEN BOGOR,32.01.01,CIBINONG,,32.01.01.1003,HARAPANJAYA,HARAPAN JAYA,,32,3201,3201210,3201210009,16914,,verified_consensus,high,usable_verified,no,16914,16914,16914,16914,,,,,,no,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api;open_data_jabar_postal_2023,diskominfo:32.01.01.1003;open_data_jabar:32.01.01.1003;kodepos_dev:32.01.01.1003,diskominfo:4;open_data_jabar:17351;kodepos_dev:4,2026-08-11,Use for exact postal validation.
ID-3201011004,32,JAWA BARAT,,32.01,KAB. BOGOR,KABUPATEN BOGOR,32.01.01,CIBINONG,,32.01.01.1004,NANGGEWER,,,32,3201,3201210,3201210002,16912,,verified_consensus,high,usable_verified,no,16912,16912,16912,16912,,,,,,no,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api;open_data_jabar_postal_2023,diskominfo:32.01.01.1004;open_data_jabar:32.01.01.1004;kodepos_dev:32.01.01.1004,diskominfo:5;open_data_jabar:17352;kodepos_dev:5,2026-08-11,Use for exact postal validation.
ID-3201011005,32,JAWA BARAT,,32.01,KAB. BOGOR,KABUPATEN BOGOR,32.01.01,CIBINONG,,32.01.01.1005,NANGGEWER MEKAR,,,32,3201,3201210,3201210003,16912,,verified_consensus,high,usable_verified,no,16912,16912,16912,16912,,,,,,no,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api;open_data_jabar_postal_2023,diskominfo:32.01.01.1005;open_data_jabar:32.01.01.1005;kodepos_dev:32.01.01.1005,diskominfo:6;open_data_jabar:17353;kodepos_dev:6,2026-08-11,Use for exact postal validation.
ID-3201011006,32,JAWA BARAT,,32.01,KAB. BOGOR,KABUPATEN BOGOR,32.01.01,CIBINONG,,32.01.01.1006,CIBINONG,,,32,3201,3201210,3201210004,16911,,verified_consensus,high,usable_verified,no,16911,16911,16911,16911,,,,,,no,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api;open_data_jabar_postal_2023,diskominfo:32.01.01.1006;open_data_jabar:32.01.01.1006;kodepos_dev:32.01.01.1006,diskominfo:7;open_data_jabar:17354;kodepos_dev:7,2026-08-11,Use for exact postal validation.
ID-3201011007,32,JAWA BARAT,,32.01,KAB. BOGOR,KABUPATEN BOGOR,32.01.01,CIBINONG,,32.01.01.1007,PAKANSARI,,,32,3201,3201210,3201210005,16915,,verified_consensus,high,usable_verified,no,16915,16915,16915,16915,,,,,,no,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api;open_data_jabar_postal_2023,diskominfo:32.01.01.1007;open_data_jabar:32.01.01.1007;kodepos_dev:32.01.01.1007,diskominfo:8;open_data_jabar:17355;kodepos_dev:8,2026-08-11,Use for exact postal validation.
ID-3201011008,32,JAWA BARAT,,32.01,KAB. BOGOR,KABUPATEN BOGOR,32.01.01,CIBINONG,,32.01.01.1008,TENGAH,,,32,3201,3201210,3201210007,16914,,verified_consensus,high,usable_verified,no,16914,16914,16914,16914,,,,,,no,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api;open_data_jabar_postal_2023,diskominfo:32.01.01.1008;open_data_jabar:32.01.01.1008;kodepos_dev:32.01.01.1008,diskominfo:9;open_data_jabar:17356;kodepos_dev:9,2026-08-11,Use for exact postal validation.
ID-3201011009,32,JAWA BARAT,,32.01,KAB. BOGOR,KABUPATEN BOGOR,32.01.01,CIBINONG,,32.01.01.1009,SUKAHATI,,,32,3201,3201210,3201210006,16913,,verified_consensus,high,usable_verified,no,16913,16913,16913,16913,,,,,,no,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api;open_data_jabar_postal_2023,diskominfo:32.01.01.1009;open_data_jabar:32.01.01.1009;kodepos_dev:32.01.01.1009,diskominfo:10;open_data_jabar:17357;kodepos_dev:10,2026-08-11,Use for exact postal validation.
ID-3201011010,32,JAWA BARAT,,32.01,KAB. BOGOR,KABUPATEN BOGOR,32.01.01,CIBINONG,,32.01.01.1010,CIRIUNG,,,32,3201,3201210,3201210012,16919,16918,verified_adjudicated,high,usable_verified,no,16918;16919,16919,16918,16918,16919,diskominfo,2026-08-11,https://kodepos.posindonesia.co.id/CariKodepos,"Exact village, district, city, and province match on Pos Indonesia.",no,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api;open_data_jabar_postal_2023;pos_indonesia_postcode_search,diskominfo:32.01.01.1010;open_data_jabar:32.01.01.1010;kodepos_dev:32.01.01.1010,diskominfo:11;open_data_jabar:17358;kodepos_dev:11,2026-08-11,Use for exact postal validation.
ID-3201011011,32,JAWA BARAT,,32.01,KAB. BOGOR,KABUPATEN BOGOR,32.01.01,CIBINONG,,32.01.01.1011,CIRIMEKAR,,,32,3201,3201210,3201210011,16917,,verified_consensus,high,usable_verified,no,16917,16917,16917,16917,,,,,,no,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api;open_data_jabar_postal_2023,diskominfo:32.01.01.1011;open_data_jabar:32.01.01.1011;kodepos_dev:32.01.01.1011,diskominfo:12;open_data_jabar:17360;kodepos_dev:12,2026-08-11,Use for exact postal validation.
ID-3201011012,32,JAWA BARAT,,32.01,KAB. BOGOR,KABUPATEN BOGOR,32.01.01,CIBINONG,,32.01.01.1012,PABUARAN,,,32,3201,3201210,3201210010,16916,,verified_consensus,high,usable_verified,no,16916,16916,16916,16916,,,,,,no,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api;open_data_jabar_postal_2023,diskominfo:32.01.01.1012;open_data_jabar:32.01.01.1012;kodepos_dev:32.01.01.1012,diskominfo:13;open_data_jabar:17361;kodepos_dev:13,2026-08-11,Use for exact postal validation.
ID-3201011013,32,JAWA BARAT,,32.01,KAB. BOGOR,KABUPATEN BOGOR,32.01.01,CIBINONG,,32.01.01.1013,PABUARAN MEKAR,,,32,3201,3201210,3201210013,16916,16916,verified_adjudicated,high,usable_verified,no,16916,16916,,16916,16916,diskominfo;kodepos_dev,2026-08-11,https://kodepos.posindonesia.co.id/CariKodepos,"Exact village, district, city, and province match on Pos Indonesia.",no,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api;open_data_jabar_postal_2023;pos_indonesia_postcode_search,diskominfo:32.01.01.1013;open_data_jabar:32.01.01.1013;kodepos_dev:32.01.01.1013,diskominfo:14;open_data_jabar:17362;kodepos_dev:14,2026-08-11,Use for exact postal validation.
ID-3201022001,32,JAWA BARAT,,32.01,KAB. BOGOR,KABUPATEN BOGOR,32.01.02,GUNUNG PUTRI,,32.01.02.2001,WANAHERANG,,,32,3201,3201190,3201190006,16965,,verified_consensus,high,usable_verified,no,16965,16965,16965,16965,,,,,,no,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api;open_data_jabar_postal_2023,diskominfo:32.01.02.2001;open_data_jabar:32.01.02.2001;kodepos_dev:32.01.02.2001,diskominfo:15;open_data_jabar:17363;kodepos_dev:15,2026-08-11,Use for exact postal validation.
ID-3201022002,32,JAWA BARAT,,32.01,KAB. BOGOR,KABUPATEN BOGOR,32.01.02,GUNUNG PUTRI,,32.01.02.2002,BOJONG KULUR,,,32,3201,3201190,3201190010,16969,,verified_consensus,high,usable_verified,no,16969,16969,16969,16969,,,,,,no,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api;open_data_jabar_postal_2023,diskominfo:32.01.02.2002;open_data_jabar:32.01.02.2002;kodepos_dev:32.01.02.2002,diskominfo:16;open_data_jabar:17364;kodepos_dev:16,2026-08-11,Use for exact postal validation.
ID-3201022003,32,JAWA BARAT,,32.01,KAB. BOGOR,KABUPATEN BOGOR,32.01.02,GUNUNG PUTRI,,32.01.02.2003,CIANGSANA,,,32,3201,3201190,3201190009,16968,,verified_consensus,high,usable_verified,no,16968,16968,16968,16968,,,,,,no,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api;open_data_jabar_postal_2023,diskominfo:32.01.02.2003;open_data_jabar:32.01.02.2003;kodepos_dev:32.01.02.2003,diskominfo:17;open_data_jabar:17365;kodepos_dev:17,2026-08-11,Use for exact postal validation.
