id,kode_bps_provinsi,nama_bps_provinsi,kode_kemendagri_provinsi,nama_kemendagri_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,bps_kode_desa_kelurahan,bps_nama_desa_kelurahan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,kode_pos,tahun
1,11,ACEH,11,ACEH,1103,KABUPATEN ACEH SELATAN,1103020,BAKONGAN,01-11-01,BAKONGAN,1103020002,KEUDE BAKONGAN,11.01.01.2001,KEUDE BAKONGAN,23773,2023
10,11,ACEH,11,ACEH,1103,KABUPATEN ACEH SELATAN,1103040,KLUET UTARA,01-11-02,KLUET UTARA,1103040014,PASI KUALA ASAHAN,11.01.02.2003,PASI KUALA ASAHAN,23771,2023
100,11,ACEH,11,ACEH,1103,KABUPATEN ACEH SELATAN,1103060,SAMA DUA,01-11-06,SAMADUA,1103060005,LUAR,11.01.06.2016,LUAR,23752,2023
1000,11,ACEH,11,ACEH,1105,KABUPATEN ACEH TIMUR,1105133,IDI TUNONG,03-11-14,IDI TUNONG,1105133004,PAYA AWE,11.03.14.2009,PAYA AWEE,24483,2023
10000,12,SUMATERA UTARA,12,SUMATERA UTARA,1214,KABUPATEN NIAS SELATAN,1214081,HILIMEGAI,14-12-11,HILIMEGAI,1214081007,HILITOESE,12.14.11.2007,HILITOESE,22864,2023
10001,12,SUMATERA UTARA,12,SUMATERA UTARA,1214,KABUPATEN NIAS SELATAN,1214081,HILIMEGAI,14-12-11,HILIMEGAI,1214081005,DAO-DAO SOWO,12.14.11.2008,DAO-DAO SOWO,22864,2023
10002,12,SUMATERA UTARA,12,SUMATERA UTARA,1214,KABUPATEN NIAS SELATAN,1214081,HILIMEGAI,14-12-11,HILIMEGAI,1214081008,HILIADULO,12.14.11.2009,HILIADULO,22864,2023
10003,12,SUMATERA UTARA,12,SUMATERA UTARA,1214,KABUPATEN NIAS SELATAN,1214081,HILIMEGAI,14-12-11,HILIMEGAI,1214081010,SOLEDUA I,12.14.11.2010,SOLEDUA I,22831,2023
10004,12,SUMATERA UTARA,12,SUMATERA UTARA,1214,KABUPATEN NIAS SELATAN,1214081,HILIMEGAI,14-12-11,HILIMEGAI,1214081011,SOLEDUA II,12.14.11.2011,SOLEDUA II,22831,2023
10005,12,SUMATERA UTARA,12,SUMATERA UTARA,1214,KABUPATEN NIAS SELATAN,1214032,TOMA,14-12-12,TOMA,1214032002,HILISATARO,12.14.12.2001,HILISATARO,22865,2023
10006,12,SUMATERA UTARA,12,SUMATERA UTARA,1214,KABUPATEN NIAS SELATAN,1214032,TOMA,14-12-12,TOMA,1214032003,HILINAMONIHA,12.14.12.2002,HILINAMONIHA,22865,2023
10007,12,SUMATERA UTARA,12,SUMATERA UTARA,1214,KABUPATEN NIAS SELATAN,1214032,TOMA,14-12-12,TOMA,1214032001,HILIAMAETALUO,12.14.12.2003,HILIAMAETALUO,22865,2023
10008,12,SUMATERA UTARA,12,SUMATERA UTARA,1214,KABUPATEN NIAS SELATAN,1214032,TOMA,14-12-12,TOMA,1214032004,BAWOGANOWO,12.14.12.2004,BAWOGANOWO,22865,2023
10009,12,SUMATERA UTARA,12,SUMATERA UTARA,1214,KABUPATEN NIAS SELATAN,1214032,TOMA,14-12-12,TOMA,1214032005,HILIALAWA,12.14.12.2005,HILI'ALAWA,22865,2023
1001,11,ACEH,11,ACEH,1105,KABUPATEN ACEH TIMUR,1105133,IDI TUNONG,03-11-14,IDI TUNONG,1105133005,PAYA GABOH,11.03.14.2010,PAYA GABOH,24454,2023
10010,12,SUMATERA UTARA,12,SUMATERA UTARA,1214,KABUPATEN NIAS SELATAN,1214032,TOMA,14-12-12,TOMA,1214032006,HILINDRASONIHA,12.14.12.2006,HILINDRASONIHA,22865,2023
10011,12,SUMATERA UTARA,12,SUMATERA UTARA,1214,KABUPATEN NIAS SELATAN,1214032,TOMA,14-12-12,TOMA,1214032010,HILIMAGARI,12.14.12.2007,HILIMAGARI,22865,2023
10012,12,SUMATERA UTARA,12,SUMATERA UTARA,1214,KABUPATEN NIAS SELATAN,1214032,TOMA,14-12-12,TOMA,1214032007,HILISATARO RAYA,12.14.12.2008,HILISATARO RAYA,22865,2023
10013,12,SUMATERA UTARA,12,SUMATERA UTARA,1214,KABUPATEN NIAS SELATAN,1214032,TOMA,14-12-12,TOMA,1214032008,HILISATARO GEWA,12.14.12.2009,HILISATARO GEWA,22865,2023
10014,12,SUMATERA UTARA,12,SUMATERA UTARA,1214,KABUPATEN NIAS SELATAN,1214032,TOMA,14-12-12,TOMA,1214032011,HILISOROMI,12.14.12.2010,HILISOROMI,22865,2023
