id,kemendagri_provinsi_kode,kemendagri_kota_kode,kemendagri_kecamatan_kode,kemendagri_kelurahan_kode,kemendagri_provinsi_nama,kemendagri_kota_nama,kemendagri_kecamatan_nama,kemendagri_kelurahan_nama,bps_provinsi_kode,bps_kota_kode,bps_kecamatan_kode,bps_kelurahan_kode,bps_provinsi_nama,bps_kota_nama,bps_kecamatan_nama,bps_kelurahan_nama,latitude,longitude,kode_pos,status_adm
1,32,32.01,32.01.01,32.01.01.1001,JAWA BARAT,KAB. BOGOR,CIBINONG,PONDOK RAJEG,32.0,3201.0,3201210.0,3201210008.0,JAWA BARAT,KABUPATEN BOGOR,CIBINONG,PONDOK RAJEG,-6.44385,106.82049,16913.0,
2,32,32.01,32.01.01,32.01.01.1002,JAWA BARAT,KAB. BOGOR,CIBINONG,KARADENAN,32.0,3201.0,3201210.0,3201210001.0,JAWA BARAT,KABUPATEN BOGOR,CIBINONG,KARADENAN,-6.51589,106.80804,16913.0,
3,32,32.01,32.01.01,32.01.01.1003,JAWA BARAT,KAB. BOGOR,CIBINONG,HARAPANJAYA,32.0,3201.0,3201210.0,3201210009.0,JAWA BARAT,KABUPATEN BOGOR,CIBINONG,HARAPAN JAYA,-6.46485,106.83956,16914.0,
4,32,32.01,32.01.01,32.01.01.1004,JAWA BARAT,KAB. BOGOR,CIBINONG,NANGGEWER,32.0,3201.0,3201210.0,3201210002.0,JAWA BARAT,KABUPATEN BOGOR,CIBINONG,NANGGEWER,-6.51166,106.84187,16912.0,
5,32,32.01,32.01.01,32.01.01.1005,JAWA BARAT,KAB. BOGOR,CIBINONG,NANGGEWER MEKAR,32.0,3201.0,3201210.0,3201210003.0,JAWA BARAT,KABUPATEN BOGOR,CIBINONG,NANGGEWER MEKAR,-6.50537,106.84286,16912.0,
6,32,32.01,32.01.01,32.01.01.1006,JAWA BARAT,KAB. BOGOR,CIBINONG,CIBINONG,32.0,3201.0,3201210.0,3201210004.0,JAWA BARAT,KABUPATEN BOGOR,CIBINONG,CIBINONG,-6.47891,106.845,16911.0,
7,32,32.01,32.01.01,32.01.01.1007,JAWA BARAT,KAB. BOGOR,CIBINONG,PAKANSARI,32.0,3201.0,3201210.0,3201210005.0,JAWA BARAT,KABUPATEN BOGOR,CIBINONG,PAKANSARI,-6.4851,106.84353,16915.0,
8,32,32.01,32.01.01,32.01.01.1008,JAWA BARAT,KAB. BOGOR,CIBINONG,TENGAH,32.0,3201.0,3201210.0,3201210007.0,JAWA BARAT,KABUPATEN BOGOR,CIBINONG,TENGAH,-6.48118,106.82361,16914.0,
9,32,32.01,32.01.01,32.01.01.1009,JAWA BARAT,KAB. BOGOR,CIBINONG,SUKAHATI,32.0,3201.0,3201210.0,3201210006.0,JAWA BARAT,KABUPATEN BOGOR,CIBINONG,SUKAHATI,-6.49294,106.8132,16913.0,
10,32,32.01,32.01.01,32.01.01.1010,JAWA BARAT,KAB. BOGOR,CIBINONG,CIRIUNG,32.0,3201.0,3201210.0,3201210012.0,JAWA BARAT,KABUPATEN BOGOR,CIBINONG,CIRIUNG,-6.46978,106.8607,16919.0,
